词汇,出现次数,词汇,出现次数
四川,14,100,14
行为,14,作为,14
双创,14,贸易,14
全部,14,医疗,14
法律,14,三大,14
行业,14,数据,14
财政,14,部门,14
党中央,14,有序,14
还,14,通过,14
扶持,14,设立,14
推广,14,高端,14
区,14,产业园,14
发挥,14,合理,14
登记,14,一个,14
习近平,14,贯彻,14
也,14,省,14
会议,14,公开,13
严格,13,污染,13
走,13,外贸,13
机构,13,需求,13
功能,13,公共服务,13
军民,13,网络,13
收费,13,关系,13
比,13,协调,13
强,13,特别,13
结果,13,覆盖,13
成本,13,保险,13
资本,13,电力,13
逐步,13,比例,13
分别,13,驱动,13
党,13,项,12
都,12,措施,12
各级,12,防治,12
分类,12,决策,12
经营,12,一体化,12
现代化,12,信息,12
政策措施,12,利用,12
人口,12,深度,12
民间,12,调整,12
较,12,和谐,12
土壤污染,12,安置,12
汽车,12,动能,12
开发区,12,退出,12
1,12,天府,11
川,11,部分,11
督查,11,办法,11
家,11,经济区,11
一路,11,一带,11
引领,11,国有企业,11
由,11,线,11
体育,11,拓展,11
业态,11,切实,11
高效,11,重大项目,11
产业链,11,空间,11
性,11,地,11
件,11,义务教育,11
医保,11,万,11
方式,11,重组,11
事项,11,全面实施,11
用地,11,万吨,11
市,11,压力,11
意见,11,月,11
减少,10,万亿元,10
法治,10,全民,10
新建,10,创建,10
成果,10,创造,10
国有,10,转化,10
范围,10,带动,10
出口,10,型,10
清洁,10,设施,10
及,10,围绕,10
培训,10,又,10
土地,10,库存,10
同时,10,之,10
板,10,补短,10
增收,10,要素,10
》,10,《,10
清理,10,搬迁,10
五,10,杠杆,10
铁路,10,集体,10
引进,10,数字,10
占,10,淘汰,10
钢铁,10,10,10
全年,10,增速,10
控制,10,按照,10
并,10,2017,10
民族,9,接受,9
及时,9,县域,9
基层,9,口岸,9
条件,9,调控,9
补助,9,活力,9
关键,9,审查,9
家庭,9,养老,9
乡村,9,优质,9
传统产业,9,节能,9
新兴,9,转变,9
研发,9,自主,9
城镇化,9,制造业,9
智慧,9,提供,9
法治化,9,更好,9
需要,9,试验区,9
总体,9,意识,9
牢固,9,矛盾,9
稳步,9,同志,9
单位,9,振兴,9
良好,9,系统,9
万亩,9,营造,9
进行,9,贫困村,9
对外开放,9,布局,9
一补,9,历史,9
棚户区,9,预算,9
坚定不移,9,报告,9
全球,8,严重,8
高,8,国内外,8
成效,8,随机,8
化,8,面对,8
担当,8,人,8
公立医院,8,残疾人,8
适度,8,就是,8
万户,8,推开,8
树立,8,力量,8
化解,8,考核,8
自贸区,8,国家级,8
全面落实,8,使用,8
激发,8,涉企,8
规定,8,为主,8
民营,8,同,8
三,8,公里,8
招商引资,8,共享,8
开发,8,贫困县,8
减税,8,评估,8
运用,8,短板,8
去年,8,总,8
一些,8,平衡,8
金融风险,8,政治,8
省市,8,人大代表,8
水,8,十三,8
20,8,增效,8
干部,8,现代农业,8
对接,8,主动,8
农村土地,8,战略性,8
以下,8,抓,8
效益,8,粮食,8
进入,8,年度,8
水体,8,3%,8
人均,8,各项,8
惠民,8,坚强,8
十八,8,学习,8
进,7,社会主义,7
1000,7,当前,7
环境保护,7,情况,7
贫困地区,7,长江,7
成都,7,进出口,7
各族人民,7,及其,7
人大,7,免费,7
药品,7,学校,7
防控,7,落户,7
开工,7,功能区,7
统一,7,招商,7
航空,7,用,7
知识产权,7,动力,7
协同,7,突破,7
双,7,权力,7
所有制,7,强省,7
试验,7,把握,7
传统,7,市场主体,7
晋商,7,支出,7
行动计划,7,职业,7
率,7,利益,7
流通,7,适应,7
建筑,7,潜力,7
联网,7,3,7
责任制,7,补偿,7
信用,7,股权,7
债务,7,房地产,7
先进,7,相关,7
13,7,或,7
达到,7,胜利,7
部署,7,思想,7
安排,7,二,7
表示,7,所有,7
崛起,7,小康,7
自身,7,中介,7
办理,7,均衡,7
低保,7,职工,7
劳动力,7,毕业生,7
贷款,7,直接,7
条,7,提质,7
承包,7,经营性,7
成功,7,轨道交通,7
一降,7,三去,7
坚定,7,企稳,7
增加值,7,9,7
达,7,变化,7
类,7,指标,7
支配,7,一般,7
百分点,7,生,7
促,7,认真,7
系列,7,大会,7
人民政府,7,和平,6
严肃查处,6,领导人,6
共同,6,研究,6
建立健全,6,遏制,6
五大,6,存在,6
国防,6,防范,6
进程,6,经济带,6
实际,6,举措,6
15,6,成绩,6
形势,6,过去,6
干事,6,抓紧,6
底线,6,一定,6
发生,6,过剩,6
达标,6,学生,6
帮扶,6,生态环境,6
监测,6,支付,6
进展,6,违法,6
修复,6,排放,6
吸纳,6,美丽,6
地下,6,出去,6
繁荣,6,文化产业,6
卫生,6,平等,6
非公有制,6,中小,6
效应,6,高速公路,6
至,6,融入,6
流动,6,科研院所,6
系统性,6,产权,6
权,6,一码,6
一照,6,证照,6
比重,6,运营,6
办,6,混合,6
国资,6,科学,6
居民,6,大众,6
幸福,6,审计,6
咨询,6,壮大,6
科技成果,6,标准化,6
龙头企业,6,加工,6
大型,6,品质,6
500,6,三个,6
落地,6,组建,6
智能,6,应用,6
充分发挥,6,12,6
贫困,6,＋,6
电商,6,内,6
应急,6,降费,6
严格执行,6,GDP,6
为了,6,既,6
统计,6,召开,6
结合,6,稳中求进,6
四个,6,霾,6
雾,6,隐患,6
较大,6,政协委员,6
民主党派,6,信心,6
得到,6,全面推行,6
到位,6,建议,6
5,6,6,6
综合治理,6,养老金,6
易地,6,金融机构,6
银行,6,经营权,6
会展,6,云,6
材料,6,新区,6
8,6,率先,6
认真落实,6,从,6
态势,6,三年,6
未,6,均,6
人数,6,排放量,6
幅度,6,能耗,6
万元,6,居民消费,6
以内,6,防,6
调,6,党代会,6
第十一次,6,我,6
14,6,军队,5
实干,5,有关,5
有力,5,货币政策,5
大国,5,儿童,5
诚信,5,就医,5
西部,5,最,5
经济运行,5,成长,5
不少,5,重建,5
自觉,5,作风,5
镇,5,城市群,5
渝,5,约,5
广泛开展,5,10%,5
稳定增长,5,从严治党,5
常态,5,问责,5
社会治安,5,食品药品,5
消除,5,技改,5
负责,5,五是,5
四是,5,三是,5
二是,5,一是,5
实事,5,省政府,5
地震,5,非,5
指导,5,明确,5
自然资源,5,督察,5
预警,5,五个,5
编制,5,管廊,5
优秀,5,公平,5
渠道,5,小微,5
众创,5,微,5
检验,5,工匠,5
评价,5,机关,5
经费,5,重点项目,5
技术创新,5,营业执照,5
联合,5,自主权,5
省属,5,职能,5
方向,5,赋予,5
简政放权,5,一流,5
全域,5,投融资,5
便利化,5,弘扬,5
采购,5,上市,5
面向,5,深入开展,5
煤电,5,循环,5
能,5,既有,5
园区,5,化工,5
物,5,移动,5
做强,5,服务体系,5
信贷,5,试点工作,5
救助,5,效率,5
负担,5,面积,5
货币化,5,2000,5
有效性,5,注重,5
保,5,夯实,5
导向,5,万套,5
于,5,浓度,5
PM2.5,5,十九,5
基调,5,局面,5
区域性,5,感谢,5
关心,5,广大干部,5
成为,5,理念,5
集中,5,投入,5
三级,5,放管,5
煤矿,5,新进展,5
退休,5,新一轮,5
帮助,5,债转股,5
交易,5,低碳,5
公司,5,竞争力,5
按,5,作出,5
4%,5,前,5
已,5,区间,5
仍,5,晋中,5
吕梁,5,空气质量,5
失业率,5,消费品,5
固定资产,5,贯彻落实,5
总书记,5,六中全会,5
届,5,挑战,5
2016,5,提出,5
审议,5,必将,4
外商投资,4,内需,4
手段,4,应对,4
货币,4,稳健,4
财政赤字,4,复杂,4
深刻,4,深化改革,4
小康社会,4,具有,4
地位,4,激励机制,4
办事,4,公正,4
权益,4,自治,4
交流,4,三权,4
干,4,划分,4
农民工,4,2025,4
回稳,4,积极性,4
大规模,4,符合,4
还有,4,显现,4
改变,4,诚挚,4
同胞,4,人民团体,4
恢复,4,优抚,4
政府职能,4,省内,4
打,4,5000,4
万公里,4,农村公路,4
7,4,常住人口,4
四大,4,张,4
获批,4,商品,4
方案,4,17,4
总产值,4,严峻,4
平稳,4,确定,4
经费支出,4,八项,4
这,4,明显,4
激励,4,一号,4
普遍,4,常委会,4
廉洁,4,效能,4
守住,4,防止,4
失信,4,网上,4
大局,4,充实,4
工商,4,检查,4
对台,4,侨务,4
档案,4,健身,4
公共卫生,4,办学条件,4
机会,4,发放,4
工资,4,零,4
管理制度,4,红线,4
准入,4,因地制宜,4
处理,4,联动机制,4
重,4,燃煤,4
全面完成,4,垃圾,4
通信,4,城区,4
平安,4,人文,4
2,4,对外,4
社会科学,4,哲学,4
新闻出版,4,创意,4
动员,4,传承,4
民营企业,4,公平竞争,4
产权保护,4,中小企业,4
市场准入,4,放宽,4
认定,4,小,4
创新型,4,多层次,4
结算,4,签约,4
改进,4,窗口,4
国际贸易,4,正式,4
机场,4,铁,4
聚焦,4,对标,4
分配,4,链,4
合作社,4,林场,4
产权制度,4,事后,4
事中,4,全程,4
电子,4,多证,4
商事,4,债券,4
步伐,4,以及,4
国企,4,工资制,4
绩效,4,岗位,4
目的地,4,管理体制,4
景区,4,旅游业,4
餐饮,4,集群,4
延伸,4,格局,4
商务,4,快速,4
工具,4,多种形式,4
结构调整,4,优先,4
食品,4,价值链,4
电子商务,4,休闲,4
交易中心,4,产业化,4
大幅,4,多元化,4
集团,4,专业,4
创,4,只,4
50,4,煤,4
生物医药,4,信息化,4
打通,4,电信,4
时代,4,同步,4
社会保障,4,村,4
购买,4,网,4
港,4,处置,4
补贴,4,进城,4
释放,4,置换,4
分流,4,多渠道,4
获得,4,依然,4
体现,4,环境质量,4
迎接,4,五位一体,4
没有,4,无党派人士,4
工商联,4,这是,4
正在,4,全力,4
反腐败,4,党风廉政,4
认真贯彻,4,两学,4
法规,4,依法行政,4
大气,4,流域,4
狠抓,4,人居,4
退役军人,4,草,4
退耕还林,4,降,4
证券化,4,公路,4
论坛,4,举办,4
京津冀,4,五证,4
确权,4,征收,4
争取,4,城,4
计算,4,都市区,4
制约,4,压减,4
这些,4,16,4
结束,4,但,4
连续,4,运城,4
大同,4,设区,4
数量,4,减排,4
氮氧化物,4,二氧化硫,4
涨幅,4,6%,4
7%,4,零售总额,4
1.5,4,低于,4
4.5%,4,开拓,4
思路,4,重要讲话,4
其他,4,省政协,4
第十二届,4,日,4
香港,3,犯罪,3
机动车,3,一道,3
覆盖面,3,成就,3
凡,3,便利,3
资源配置,3,享受,3
出路,3,巨大,3
全球化,3,各国,3
周年,3,销售,3
发展中国家,3,外资,3
自贸,3,上海,3
新设,3,+,3
这一,3,缴费,3
人民币,3,多种,3
灵活,3,税负,3
财政政策,3,宏观调控,3
任何,3,能够,3
峰会,3,充分,3
迈出,3,李克强,3
总理,3,第五次,3
全国人民代表大会,3,登记证,3
水污染,3,2020,3
沿线,3,户籍制度,3
即,3,依靠,3
而,3,两个,3
放管服,3,透明,3
依法惩治,3,违规,3
特大事故,3,公务员,3
基础性,3,出现,3
危房改造,3,大气污染,3
24,3,医药,3
定向,3,突出重点,3
高水平,3,站,3
革命,3,小时,3
互联互通,3,广泛,3
盘活,3,规模经营,3
分置,3,三农,3
海外,3,务实,3
改革开放,3,创造条件,3
合法权益,3,同质,3
同标,3,同线,3
内外销,3,住,3
三四,3,施策,3
优出,3,优进,3
放心,3,倡导,3
拉动,3,前提,3
攻坚战,3,生产力,3
8%,3,定力,3
政怠政,3,庸政懒,3
差距,3,有所,3
缓解,3,比较,3
状况,3,低,3
海外侨胞,3,用于,3
地质,3,违法犯罪,3
信访工作,3,七进,3
行政监察,3,纠正,3
腐败问题,3,残奥会,3
年均,3,覆盖率,3
全川,3,对象,3
大事,3,十项,3
财力,3,住院费用,3
25,3,强力,3
东北,3,川南,3
竞相,3,新村,3
五项,3,城镇化率,3
海绵,3,多规,3
中外,3,95,3
财税,3,科技人员,3
经验,3,绵阳,3
质量奖,3,产品质量,3
回升,3,8000,3
贡献率,3,7.5%,3
一二三,3,稳中,3
开局,3,圆满完成,3
周围,3,紧密,3
不能,3,腐,3
四风,3,三公,3
过,3,长效机制,3
切实加强,3,履行,3
巩固,3,严肃,3
督,3,关键环节,3
容错,3,第三方,3
营商,3,指定,3
经得起,3,市场监管,3
应诉,3,智库,3
民主决策,3,事务,3
提案,3,联系,3
民主监督,3,政协,3
影响,3,追溯,3
减灾,3,社区,3
在线,3,军工,3
灾害,3,打击,3
非法,3,予以,3
长期,3,查处,3
市县,3,安全监管,3
修订,3,做到,3
600,3,妇女,3
对口,3,港澳,3
外事,3,参事,3
气象,3,两孩,3
中医药,3,县乡,3
医疗卫生,3,诊疗,3
加成,3,配套,3
异地,3,养老保险,3
司法,3,转换,3
人群,3,动态,3
托底,3,过程,3
标本兼治,3,顺应,3
污染源,3,垂直,3
河长制,3,划定,3
权利,3,总量,3
交通,3,实质性,3
供水,3,水网,3
严控,3,违规行为,3
联动,3,天气,3
冬季,3,下达,3
三大战役,3,社保,3
配置,3,各种,3
集聚,3,符合条件,3
挂钩,3,示范县,3
综合利用,3,宜居,3
垃圾处理,3,污水,3
老旧,3,县城,3
号线,3,畅通,3
推出,3,实践,3
影视,3,广播,3
内容,3,阅读,3
普惠,3,博物馆,3
融资难,3,包容,3
创新能力,3,辐射,3
万众,3,辉煌,3
回乡,3,储备,3
进口,3,跨境,3
单一,3,复制,3
保税区,3,临时,3
骨干,3,连通,3
路,3,城际,3
中部,3,梯度,3
全方位,3,开放型,3
企业家,3,第一,3
他们,3,事业单位,3
发达,3,更大,3
实验室,3,共建,3
高层次,3,高新技术,3
内生,3,先行,3
大胆,3,繁重,3
决定,3,供销,3
水价,3,水利工程,3
财产权,3,分离,3
惩戒,3,外,3
项目管理,3,国有资本,3
4,3,核准,3
原则,3,国际化,3
运行机制,3,跨越,3
宗教,3,搭建,3
需,3,障碍,3
成,3,互动,3
整顿,3,行,3
设备,3,引入,3
改制,3,金融业,3
四,3,农田,3
高标准,3,节水,3
30%,3,精深,3
玉米,3,扩,3
优做,3,六大,3
目录,3,产业布局,3
装配式,3,专业化,3
资质,3,建筑业,3
提档,3,提,3
品种,3,增,3
煤基,3,前沿,3
孵化,3,电子信息,3
吸引,3,数据中心,3
设计,3,一体,3
信息技术,3,新一代,3
贫困户,3,摘帽,3
光伏,3,这个,3
物流配送,3,担保,3
税费,3,减轻,3
不合理,3,稳妥,3
衔接,3,消化,3
居住,3,购房,3
落后,3,安置工作,3
兼并,3,法律法规,3
感,3,绿水青山,3
不要,3,不折不扣,3
补齐,3,放在,3
紧日子,3,因素,3
起来,3,指标体系,3
颗粒物,3,包括,3
节约,3,优异成绩,3
坚实,3,总体布局,3
新理念,3,理政,3
治国,3,不力,3
尤其,3,约束,3
财政收支,3,一系列,3
素质,3,不足,3
走出,3,大力支持,3
正确,3,来之不易,3
斗争,3,中国共产党,3
党内,3,新形势下,3
两,3,运行,3
服务平台,3,规章,3
提请,3,安全事故,3
老,3,400,3
林,3,汾河,3
立法,3,大病,3
特色产业,3,八大,3
优惠政策,3,受理,3
万名,3,行业龙头,3
入市,3,团队,3
成立,3,2%,3
空间布局,3,破解,3
主战场,3,贡献,3
减量,3,亿吨,3
21,3,总产量,3
临汾,3,阳泉,3
其中,3,氨氮,3
需氧量,3,化学,3
约束性,3,11,3
上半年,3,五中,3
四中,3,三中,3
希望,3,回顾,3
委员,3,请,3
请予,3,现在,3
山西省,3,一边,2
两岸,2,祖国,2
形式,2,分裂,2
反对,2,始终,2
民主,2,澳门,2
一国两制,2,国防科技,2
国家主权,2,强军,2
独特,2,中华民族,2
者,2,文件,2
听取,2,宪法,2
工作人员,2,共识,2
梦,2,各方,2
用药,2,元,2
奋斗,2,切实做好,2
构筑,2,燃油,2
监控,2,蓝天,2
应有,2,愿,2
谈判,2,多边贸易,2
赢,2,共,2
引向,2,科研人员,2
强国,2,海洋,2
决不能,2,少,2
三要,2,二要,2
相,2,侵害,2
人们,2,公民,2
劳动,2,允许,2
规则,2,财富,2
天然气,2,石油,2
秩序,2,高度,2
商业银行,2,每,2
总体方案,2,税收,2
税率,2,最后,2
切实落实,2,事业性,2
广大,2,上涨,2
房价,2,满足,2
并举,2,目前,2
中央财政,2,针对,2
持之以恒,2,拥有,2
新旧,2,关口,2
艰巨,2,主攻,2
传导,2,决不允许,2
要带头,2,一般性,2
赤字,2,基本面,2
创造力,2,道路,2
阶段,2,保护主义,2
总需求,2,微观,2
敢于,2,台湾同胞,2
澳门特别行政区,2,一切,2
建设性,2,任,2
海洋权益,2,生效,2
协定,2,－,2
外交,2,最大,2
再创,2,多万人次,2
重点高校,2,细,2
居住证,2,科技进步,2
2030,2,1300,2
一律,2,外资企业,2
通,2,耕地,2
许可,2,一金,2
五险,2,着眼,2
汇率,2,M2,2
广义,2,存量,2
不变,2,增值税,2
改增,2,营,2
相机,2,战胜,2
勇气,2,全球性,2
很,2,改建,2
每天,2,快,2
上升,2,新举措,2
最低,2,5%,2
依法治国,2,十分,2
党和国家,2,根本利益,2
叠加,2,面临,2
作,2,开幕,2
北京人民大会堂,2,改为,2
核发,2,税务,2
管控,2,环境监测,2
合作项目,2,扩权,2
农户,2,新动力,2
进社区,2,纠错,2
积极主动,2,政商,2
整肃,2,案件,2
大厅,2,舆论监督,2
文明执法,2,公共安全,2
暴力,2,制止,2
洪涝,2,双安,2
从严,2,宗教事务,2
进步,2,民族团结,2
留守,2,困境,2
关爱,2,慈善事业,2
诉求,2,良性,2
价值观,2,中华,2
竞技,2,一流大学,2
难,2,并行,2
80,2,办实事,2
不减,2,只增,2
六有,2,协作,2
幸福生活,2,创建活动,2
四到,2,兜底,2
标准线,2,新居,2
阿,2,至少,2
分红,2,两不愁,2
受益,2,人人,2
以电代,2,公园,2
森林,2,湿地,2
偷排,2,联控,2
联防,2,111,2
251,2,通关,2
创业板,2,齐全,2
会,2,定点,2
迈向,2,深层次,2
实效,2,省份,2
必由之路,2,设市,2
两强,2,两扩,2
强县,2,老区,2
结合部,2,50%,2
配套改革,2,城乡规划,2
300,2,住宅,2
棚改,2,集体经济,2
涉农,2,林区,2
推广应用,2,消费者,2
重点县,2,一件,2
事权,2,青年,2
返乡,2,1.8,2
一百,2,攻关,2
民用,2,高技术,2
30,2,授权,2
第二年,2,流向,2
利润,2,一培,2
一创,2,一提,2
用户,2,因城,2
地条钢,2,僵尸,2
总额,2,8.5%,2
康养,2,中西部,2
三百,2,欺诈,2
诈骗,2,假冒伪劣,2
制售,2,舒心,2
川货,2,热点,2
丰富,2,6500,2
强基,2,自贡,2
第三,2,多重,2
保证,2,大和省,2
目的,2,汇聚,2
公平正义,2,有利于,2
几个,2,分析,2
承载能力,2,充分考虑,2
专注,2,始终保持,2
加以解决,2,采取措施,2
不同,2,现象,2
交通拥堵,2,根本,2
尚未,2,贵,2
下行,2,看,2
承载,2,各界人士,2
灾后,2,得,2
地方志,2,青少年,2
文史,2,测绘,2
依法打击,2,宣传教育,2
不正之风,2,奥运会,2
里,2,纪念馆,2
达标率,2,水质,2
森林草原,2,绿化,2
地方病,2,传染病,2
价格上涨,2,65%,2
个人,2,免除,2
返贫,2,致贫,2
病,2,薄弱,2
贫困家庭,2,万个,2
每个,2,头等大事,2
西北,2,攀西,2
增长极,2,经济总量,2
成都平原,2,缩小,2
建,2,改,2
小镇,2,被,2
进一步提高,2,户籍,2
超额完成,2,危旧房,2
国别,2,德,2
省外,2,亿美元,2
友好合作,2,城等,2
知名企业,2,所,2
影响力,2,法,2
十国集团,2,万人次,2
列,2,开行,2
班列,2,中欧,2
航线,2,里程,2
大通道,2,74,2
结合实际,2,资产负债率,2
420,2,制订,2
领先,2,9.5%,2
85%,2,新开工,2
信息安全,2,省级重点,2
年初,2,经济指标,2
9.1%,2,业绩,2
开拓创新,2,团结,2
出来,2,艰难险阻,2
长征路,2,廉政,2
造假,2,扯皮,2
推诿,2,约法三章,2
国有资产,2,笼子,2
党的建设,2,党委,2
党组,2,下功夫,2
创造性,2,方针,2
给,2,重任,2
假,2,责,2
责问,2,追,2
进度,2,盯住,2
锐意进取,2,室,2
政府部门,2,一网通,2
一窗,2,申请,2
一张,2,事,2
纳入,2,四级,2
框架,2,法制,2
全过程,2,组成,2
行政复议,2,合法性,2
科学决策,2,承办,2
妇联,2,共青团,2
工会,2,积极支持,2
表达,2,党的领导,2
尽责,2,严厉打击,2
防灾,2,纠纷,2
拆迁,2,征地,2
社会工作,2,尾矿库,2
整改,2,督办,2
矿井,2,排查,2
倒查,2,严,2
容忍,2,黑名单,2
谁,2,一岗双责,2
压实,2,下乡,2
六是,2,老年人,2
产,2,建档立卡,2
预防,2,双拥,2
国防建设,2,民族宗教,2
人防,2,红十字会,2
慈善,2,老龄,2
妇女儿童,2,第二届,2
办医,2,制,2
分级,2,招生,2
民办教育,2,特殊教育,2
普通高中,2,两免,2
督导,2,抽查,2
中小学,2,在城镇,2
幼儿园,2,学前教育,2
参保,2,康复,2
医疗保险,2,生育,2
稳住,2,足额,2
按时,2,发布,2
居民收入,2,职业培训,2
33,2,援助,2
失业,2,奖补,2
源头,2,关切,2
许可证,2,监察,2
考核办法,2,环境治理,2
集约,2,东山,2
贯通,2,引黄,2
水资源,2,地下水,2
地表水,2,林田湖,2
山水,2,铁腕,2
资源化,2,废弃物,2
养殖,2,畜禽,2
污水处理,2,超低,2
供暖,2,散煤,2
治污,2,环境污染,2
水电,2,就近,2
开发利用,2,村落,2
重视,2,户,2
4000,2,地质灾害,2
改水,2,产城,2
自然,2,山,2
地铁,2,信息流,2
人流,2,年底,2
定位,2,净化,2
产业基地,2,媒体,2
公益,2,服务项目,2
文物,2,记忆,2
调查,2,挖掘,2
九,2,涉及,2
公有制,2,全力支持,2
拓宽,2,众,2
专项资金,2,自由,2
分享,2,审慎,2
150,2,创业者,2
小企业,2,闲置,2
巨人,2,八,2
总部,2,才,2
晋商晋,2,投产,2
厂房,2,增设,2
作业,2,专,2
公,2,走廊,2
长城,2,金三角,2
晋,2,港澳台地区,2
承接,2,引智,2
经济圈,2,积极参与,2
七,2,评聘,2
通道,2,双向,2
政企,2,卡,2
价值,2,知识,2
生物,2,招标,2
科研经费,2,十大,2
纲要,2,六,2
先试,2,主要矛盾,2
抓住,2,林权,2
置,2,分,2
减免,2,给予,2
注册,2,削减,2
竞争,2,用电,2
电,2,供电,2
直,2,电网,2
业务,2,股份制,2
挂牌,2,属地,2
备案,2,保留,2
负面,2,改革方案,2
遗留问题,2,剥离,2
法人,2,健体,2
瘦身,2,起步区,2
月底,2,权限,2
放,2,放尽,2
知名,2,大省,2
努力实现,2,服务设施,2
游,2,五台山,2
红色,2,线路,2
精品,2,六字,2
经营机制,2,理顺,2
跨,2,上线,2
家政,2,住宿,2
商贸,2,市场秩序,2
引深,2,本,2
展会,2,提速,2
快递,2,工程技术,2
咨询服务,2,债,2
充满希望,2,60,2
灌溉面积,2,农惠农,2
支农,2,旱作,2
高地,2,共同体,2
服务型,2,太行山,2
雁门关,2,平原,2
杂粮,2,调减,2
小麦,2,强大,2
真正,2,优,2
白酒,2,180,2
差异化,2,生产线,2
相互,2,技术改造,2
研究院,2,筹建,2
晋南,2,晋北,2
西山,2,发电,2
充电,2,吉利,2
二期,2,钢,2
优势产业,2,瞄准,2
风电,2,太重,2
孤岛,2,筹划,2
层层,2,小额,2
收益,2,技能,2
采取,2,重中之重,2
岸,2,人力资源,2
既补,2,用能,2
阶段性,2,增进,2
不良资产,2,周期,2
属性,2,推行,2
商品房,2,城中村,2
关闭,2,实实在在,2
老百姓,2,带,2
明天,2,各地,2
财政资金,2,留出,2
考虑,2,转平,2
由负,2,设置,2
根据,2,5.5%,2
美好,2,暨,2
全会,2,不高,2
不敢,2,加剧,2
维稳,2,仍然,2
错综复杂,2,独大,2
一煤,2,积累,2
多年,2,时期,2
清醒,2,衷心,2
敬意,2,崇高,2
朋友,2,们,2
武警官兵,2,人民解放军,2
驻晋,2,攻坚克难,2
同心同德,2,省人大,2
关怀,2,亲切,2
开启,2,摆脱,2
决心,2,认识,2
规律,2,省情,2
上下,2,标志,2
处于,2,正,2
条例,2,准则,2
13710,2,交易平台,2
两级,2,下放,2
服效,2,政协提案,2
草案,2,地方性,2
死亡,2,起数,2
旧车,2,车及,2
黄标,2,改薄,2
保障性,2,群体,2
1900,2,二十个,2
夺取,2,渡,2
物流业,2,千方百计,2
铝,2,华为,2
能源供应,2,联北拓,2
南承西,2,东融,2
新格局,2,工商户,2
个体,2,PPP,2
权能,2,股份,2
集体土地,2,委托,2
科研,2,碳纤维,2
T800,2,机遇,2
抢抓,2,谋划,2
载体,2,开辟,2
煤炭市场,2,累计,2
66,2,趋势,2
起,2,月份,2
第二,2,呈现,2
3.4%,2,标志性,2
低位,2,朔州,2
晋城,2,长治,2
天数,2,优良,2
V,2,劣,2
用水量,2,二氧化碳,2
4.2%,2,高于,2
预计,2,好于,2
奋力,2,前行,2
